,Unnamed: 0,ID,review_description,rating
0,0,1,اهنئكم على خدمه العملاء في المحادثه المباشره ما قصرو الله يوفقهم ويعطيهم الف عافيه,1.0
1,1,2,ممتاز جدا ولكن اتمنى ان تكون هناك بعض المسابقات والجوائز مثل طلبات السعودية فسوف يكون هناك مستخدمين اكثر و افضل,1.0
2,2,3,كل محملته يقول تم ايقاف حطيت2 عشان تسوون الخطاء,-1.0
3,3,4,شغل طيب,1.0
4,4,5,بعد ماجربت,1.0
5,5,6,وايد زين,1.0
6,6,7,سيئ جدا جدا,-1.0
7,7,8,تطبيق ضعيف لا يليق بشركه كبيره مثل رأيه واغلب الوقت عند استخدام التطبيق تظهر رساله نعمل على حل المشكله,-1.0
8,8,9,٠ ٠ؤ٩,-1.0
9,9,10,السواقين بيكدبوا ومبيجوش وبيكنسلوا الرحلات مع نفسهم انصحكم بأوبر والله برقبتهم على الاقل ببعاقبوا المخالف,-1.0
10,10,11,يستحق 5نجوم واكثر,1.0
11,11,12,رائع .,1.0
12,12,13,والله برنامج جدآ رائع ارجوكم استمره,1.0
13,13,14,انا طلبت وجبه مع ببسي وصل الساعة سبعة,1.0
14,14,15,أنا عايشه بصلاله،يعني ما في إلا ثلاث مطاعم بصلاله ليش صلاله فيها واجد مطاعم وأرجو حل هذه المشكله,-1.0
15,15,16,ني هتيعز,1.0
16,16,17,Very bad 👎,-1.0
17,17,18,المنطقة التي انا فيها لا تدعم التطبيق الاردن/عمان/الموقر/الذهيبة الشرقية,-1.0
18,18,19,المشكله لاتوجد صور للوجبات ..فقط البعض منها,1.0
19,19,20,ياعمي توصيل ساعه ونص وبعد انتهاء الوقت لم يقبل الطلب!!!! في تطبيقات منافسه اكثر مصداقية وثقه,-1.0
20,20,21,يا ليت يوصل في سلطنة عمان,1.0
21,21,22,فخميين,1.0
22,22,23,خالص التقدير للفكره بجد ذاتها .....و الشركه تنفذها كما ينبغي قدر الامكان تحياتي مع رجاء تحسين جوده تتبع الرحله,1.0
23,23,24,برنامج جدا جدا جدا فادني صراحه # شكرا_طلبات,1.0
24,24,25,ياجماعه انا عمري ما طلبت لكن التليفون كان اطلب من عليه لكن الخط لا ومفيش اي عروض,-1.0
25,25,26,لا بأس فيه بس مرات تطلب ولما تختار وتخلص يقولك المطعم مغلق ؟!!!,-1.0
26,26,27,خدمة ممتازه و أفضل ابلكيشن يخدم الواحد اذا ما يعرف شنو يبي,1.0
27,27,28,جميل جدا جميل بمعنى الكلمة,1.0
28,28,29,نرلااننلنبنينلنقتقههبنبتلورىوتلعقنرزرنبهثخسضححسؤمرزقنهقهبمبرززىوىزبنبنرنبنقهقنبميميسككسيثسجضشططشيمبملنلنلنلتلتتللتلتلتتففعتلبتلتلتلتتلنلنلمبمبنللنهلتلتلتلعللعهلهللنلنهلقههققهقههقلننبنقنقبنلننقنقهقنبنلهقهقخسخحصحبعهعلاعع6٦غغفلابنبنبميمققمخققخقخقخخقمققمبممبنببمبنمقنقمققننقنقنقنقتلتتتلنلنلنللنلنلننللنلنلننالننلنلنللنفنلنلننلنلنبنثهببنبنبنقننفنفنلناناهاهاهفاهافهفهفههفهعفهفهفهفهفهفهفالميملململمململنمبنبنلنلتللتتتتتتتتتنتنللهلنرننررننبنللنلتتللتلتلتلتتببتلتتلتبتبتبتبلتتلتلعقتلتلتبتىىتوىوىوىوىتلنلهببههب,0.0
29,29,30,سيئ للغاية بتطلب الطلب بيوصل اشي تاني,-1.0
30,30,31,أطلب بيتزا وبيج ماك أنا مشهور تامر من عرب الخلوه دي منور الدنيا أنا ينزل ا,1.0
31,31,32,حراميه,-1.0
35,35,33,للاسف المعاملة تحولت للاسوأ وآخر طلب طلبته كان علب حلويات وجاتوه وكنافة بالكريمة وصلتنى مقلوبة ومهروسة ببعضها ولم اكتشف ذلك الا بعد انصراف عامل التوصيل,-1.0
