,Unnamed: 0,review_description,rating
0,0,شرك زبال سواق تبرشم مفيش حت رقم شكاو سواق سيب مشي ميرضاش قف قول عمل يه تصل شركه قول مرضيش قفلي رغم ني حاجز قبل يوم,-1
1,1,خدم دفع طريق كي نت توقف عند صبح قط دفع قدا,1
2,2,طبيق غب جار حذف عامل كواد خصم نستخدم كتر مرة عملو لو هاتف كامل تواصل خدم عمل يقولول مشكل ملهاش حل خسران نصح جميع نه نزل تطبيق مطاعم مشهور زي نتاك او ماكدونالدز طلب فضل يكون خصوم قو على وجب متاح,-1
3,3,عل طبيق ممتاز فى امكان تيح مستخدم تطبيق ان يستطيع غيير لم سر دون رجوع لى خدم عملاء,1
4,4,سيء جد سعار رسوم توصيل لا مت واقع صل,-1
5,5,قعد سن دور سائق ما وصيل أشياء جيد جد,0
6,6,حلئ طبيق,1
7,7,رائع مدهش,1
8,8,مک بحرین عم غیره عراق مک یعنی جم حد علی تعلیق,-1
9,9,طبيق جميل يستاهل خمس جوم موافق موافق موافق,1
10,10,طلب,1
11,11,اسمر عمار ريق مصر,1
12,12,ممتاز مصدق دق سرع توصيل رجاء ضع قيم وجب او طلب غض نظر مطعم شكرآ,1
13,13,هالبرنامج منقذ,1
14,14,مرة سريع جا طلب نصح صراح,1
15,15,يو ار يو,1
16,16,وصل أي مك,-1
17,17,سمح نا سال ده وصيل منطق شتىل نقط شتيل شارع مسابك عتول قولتول ابع سم منطقه طيب لي نا عتا ده سمو يه ماه ده سم منطقه غريب مايفتح تطبيق ظهر سم مك جي طلب مطاعم يظهرل عبد معبود تاع قهوه قط,-1
18,18,فضل طبيق علی مر تاريخ,1
19,19,طلب طلب ساع وم اتصل على قال طلب لغى حيواني ذبح جوع غاضب,-1
20,20,سلام على نا سا عم له مايوصل اي شي ياري يخل اردن دي حكيل شي تاف هاد برنامج برنامج يحط دعا تلفزي شتغل نصح عدم نزيل زبال زبالةزبالة زي جه لي خترع,-1
21,21,جمد,1
22,22,كبر حرام زيد سعر اكل ياخذ سعر توصيل,-1
23,23,له طبيق ممتاز نصح ان حمل كل يف,1
24,24,طلب جي سرع مجرب نا مسافر رياض اتصل مر دقيق طلب باب حاار,1
25,25,ل حب هذا تطبيق,1
26,26,حل حل حل حل حل حل حل حل حل حل حل قرد مصدوم حب,1
27,27,عمل كونت جديد مدانيش اي قسايم عروض مش ويسس,-1
28,28,برنامج شل,-1
29,29,انترنت محدود,-1
30,30,شرك ممتاز سائق محترف توفيق,1
31,31,جيد جد سريع,1
32,32,شغل ظيف نظيف,1
33,33,سریع ماش له,1
34,34,برنامج وفر وقت جهد قد حبب,1
35,35,لا تاتينى اى عروض او قسائم بد نزل,-1
36,36,رنامج طل,1
37,37,طبيق سيء جد معامل محترم في صب حتيال كواد خصوم لا ادا صب,-1
38,38,جد خدم ممتاز جد,1
39,39,حل اك حي ماتتواجد مناطق,1
40,40,طلب جميل جد,1
41,41,خدم ممتاز ان ده وس محفظ من سحب اي ماكين صراف آلي,1
42,42,فشل طبيق وصيل,-1
43,43,قليل ني وخذ خصوم,-1
44,44,مم عمل اوردار وصل لات يام,-1
45,45,طبيق رائع صراحت,1
46,46,حتاج ديم لي تحويل زاكره داخليه لي زاكره خارجبه,0
47,47,طبيق رائع غلط دايم طلب مضبوط عالوق شغل احترافي حلى شي خان ملاحظ موجود حال قتراح اضاف تبع طلب كو مي مي,1
48,48,قل,-1
49,49,سؤ جرب حياتى لا نصح طلاق,-1
50,50,حرم مفيش مصدق,-1
51,51,خيس رنامج طلب ريال قول ازمريال,-1
52,52,هي حل متمش عراق,1
53,53,ممتاز تاخير وصيل طلب,1
54,54,ممتاز مر حب,1
55,55,أسوء أسوء هو - هي كو جدا سيء الآن,-1
56,56,مام مام مام,-1
57,57,طلب مطعم قعد ساع نتظر عد دقي برنامج قال مطعم مايوصل طيب كس ام عط خبر له طبيق شل,-1
58,58,جميل خدم حل,1
59,59,تجرب ممتاز,1
60,60,مممتاز,1
61,61,طبيق شل ماه قادر حدد موقع شهر حي جازان ما قادر طلب حد ادنى هال هنجر يشن جر مميزةت راجع يالل سلام,-1
62,62,طبيق شل طلب كل مطعم خلال مندوب لبس مان اكل متسرب برع عني ماش رتيب لا مندوب اكل طعم حل حمر,-1
63,63,حضر عرض تاع مش شغال كل جي طلب وقلي يستخدم مرة قت نا عمر ستخدم شكر عت رابط تواصل معا يه يه,-1
64,64,تطبيق جيد وع,1
65,65,طبيق رائع جد جد سهل عمل توصيل اسرع قت,1
66,66,مممتااااز جد جد جد له على من صراح نفع,1
67,67,رائععععع جد,1
68,68,قت توصيل يتم زياد دون إخبار وقات يتم إلغاء أوردر ساع طلب,-1
69,69,ممتاز صراح,1
70,70,جو عراق جو سعود إمار كويت حر,1
72,72,روع سريع جد صيح مجرب جماع زلو رد,1
73,73,طبيق جميل وصل سرع,1
74,74,سيء جد جد مع ذال قول نتظر,-1
75,75,شاء له بار لي قايم تطبيق رائع خدمه عكس غير لي شل شل ذريع,1
76,76,ممتاز عملى,1
77,77,طبيق جدآ ممتاز رجو ان ضيفو وبو خصم,1
78,78,طبيق رائع جد شكر عم وصل اي هد قسائم مم عرف يش,1
79,79,لا تستطيع جد لي موقع و لا تستطيع قبل لي ريد ل سجل ماذا كو الذي - التي رنامج,-1
80,80,حل رنامج عالم عرف,1
81,81,تقبلو دفع طريق فيز ارد,0
82,82,مريح عامل جيد رغم تأخير لا سباب زحام شكر سويفل,1
83,83,نهو كثر رائع,1
84,84,موقع جبار حب,1
85,85,عظيم ظيف موافق,1
86,86,توصل لي موقع مسبق حلم سجيل رقم هاتف,1
87,87,ها نجم عش إعلان لي قرفت عرض ين روح لاق كم علا بلع نجم,-1
88,88,حل جدآ نا ني سويف نفع طلب,1
89,89,وسف وسف حمد حمد,1
90,90,رررررااااائئئئئععععع,1
91,91,حب عجاب,1
